Age,Gender,Profession,Most used Social Media,Sleeping Hours (When didn't use social media),Sleeping Hours (Now),Screen Time,Purpose Fulfilled,Quality of Sleep,Quality of Mood,Health Issues (if any),Impact of Social Media,Any other Leisure Activity,Time Spent on Whatsapp,Time Spent on Instagram,Time Spent on Snapchat,Time Spent on Facebook,Time Spent on Youtube
18-24 (Young Adults),Female,Student,Instagram,6-7 hours,6-7 hours,3-4 hours,Entertainment,7,4,Neck and back pain,Negative,Sleep or take a nap,Less than 30 minutes a day,2 to 3 hours a day,30 minutes to 1 hour a day,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,3-4 hours,Entertainment,7,7,Eye strain,Positive,Finish pending Chores / Tasks,Less than 30 minutes a day,1 to 2 hours a day,Less than 30 minutes a day,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,5-6 hours,Entertainment,6,2,Eye strain,Negative,Finish pending Chores / Tasks,30 minutes to 1 hour a day,More than 4 hours a day,Less than 30 minutes a day,Don't use Facebook,1 to 2 hours a day
25-34 (Adults),Male,Student,Instagram,6-7 hours,6-7 hours,3-4 hours,Mindless Scrolling,7,3,Eye strain,Negative,Sleep or take a nap,Less than 30 minutes a day,More than 4 hours a day,Don't use Snapchat,Less than 30 minutes a day,Less than 30 minutes a day
13-17 (Teenagers),Female,Student,YouTube,8-9 hours,6-7 hours,5-6 hours,Mindless Scrolling,7,5,Eye strain,Negative,Sleep or take a nap,2 to 3 hours a day,1 to 2 hours a day,30 minutes to 1 hour a day,Less than 30 minutes a day,More than 4 hours a day
18-24 (Young Adults),Male,Student,Instagram,8-9 hours,More than 9 hours,More than 8 hours,Entertainment,4,4,Eye strain,Negative,Listen to music,30 minutes to 1 hour a day,2 to 3 hours a day,Less than 30 minutes a day,Don't use Facebook,Less than 30 minutes a day
45-54 (Older Adults),Male,Employee,Facebook,8-9 hours,Less than 4 hours,1-2 hours,News and information,8,1,Eye strain,Negative,Sleep or take a nap,Less than 30 minutes a day,Less than 30 minutes a day,Less than 30 minutes a day,30 minutes to 1 hour a day,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,1-2 hours,Entertainment,8,8,Fatigue,Negative,Sleep or take a nap,Less than 30 minutes a day,More than 4 hours a day,30 minutes to 1 hour a day,Don't use Facebook,1 to 2 hours a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,1-2 hours,Entertainment,7,6,Eye strain,Positive,Spend time with Family and Friends,30 minutes to 1 hour a day,2 to 3 hours a day,Less than 30 minutes a day,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Snapchat,8-9 hours,6-7 hours,5-6 hours,Education,7,7,Headaches,Negative,Listen to music,1 to 2 hours a day,1 to 2 hours a day,2 to 3 hours a day,Less than 30 minutes a day,Less than 30 minutes a day
35-44 (Middle-Aged adults),Male,Employee,Whatsapp,8-9 hours,6-7 hours,1-2 hours,Entertainment,7,7,Neck and back pain,Negative,Spend time with Family and Friends,More than 4 hours a day,Less than 30 minutes a day,30 minutes to 1 hour a day,1 to 2 hours a day,Less than 30 minutes a day
18-24 (Young Adults),Female,Employee,Instagram,8-9 hours,6-7 hours,More than 8 hours,Job Purposes,6,7,Neck and back pain,Negative,Sleep or take a nap,1 to 2 hours a day,More than 4 hours a day,Less than 30 minutes a day,Less than 30 minutes a day,1 to 2 hours a day
18-24 (Young Adults),Female,Student,Instagram,6-7 hours,4-5 hours,5-6 hours,Entertainment,10,7,Headaches,Negative,Listen to music,30 minutes to 1 hour a day,More than 4 hours a day,I do not do not use Snapchat۪t use Snapchat,Don't use Facebook,1 to 2 hours a day
18-24 (Young Adults),Female,Student,Whatsapp,8-9 hours,8-9 hours,3-4 hours,Entertainment,10,8,None,Negative,Listen to music,More than 4 hours a day,1 to 2 hours a day,30 minutes to 1 hour a day,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,3-4 hours,Entertainment,8,6,Headaches,Negative,Go for a walk or exercise,2 to 3 hours a day,2 to 3 hours a day,Less than 30 minutes a day,Don't use Facebook,1 to 2 hours a day
18-24 (Young Adults),Male,Student,Instagram,8-9 hours,6-7 hours,3-4 hours,Entertainment,7,5,Eye strain,Negative,Finish pending Chores / Tasks,Less than 30 minutes a day,2 to 3 hours a day,Less than 30 minutes a day,Less than 30 minutes a day,Less than 30 minutes a day
18-24 (Young Adults),Female,Student,Whatsapp,8-9 hours,6-7 hours,3-4 hours,Entertainment,7,4,None,Negative,Finish pending Chores / Tasks,More than 4 hours a day,1 to 2 hours a day,30 minutes to 1 hour a day,Less than 30 minutes a day,1 to 2 hours a day
18-24 (Young Adults),Female,Student,Instagram,8-9 hours,6-7 hours,3-4 hours,Entertainment,5,7,Eye strain,Positive,Finish pending Chores / Tasks,2 to 3 hours a day,2 to 3 hours a day,Don't use Snapchat,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Male,Business,Whatsapp,4-5 hours,Less than 4 hours,1-2 hours,Entertainment,4,10,None,Positive,Listen to music,More than 4 hours a day,Less than 30 minutes a day,30 minutes to 1 hour a day,Don't use Facebook,Less than 30 minutes a day
18-24 (Young Adults),Male,Student,Instagram,8-9 hours,6-7 hours,5-6 hours,Entertainment,8,5,Mental Health Strain,Negative,Listen to music,1 to 2 hours a day,2 to 3 hours a day,30 minutes to 1 hour a day,Don't use Facebook,Less than 30 minutes a day
